id,lat,lng
17112210383,-23.610789,-46.6863422
17103343899,-23.5885853,-46.6777041
17014353959,-23.6171113,-46.6818107
16977983644,-23.5939383,-46.6710837
16986506100,-23.6007157,-46.6841551
16903166426,-23.5988711,-46.68355
16989660641,-23.5990715,-46.6843985
16979302753,-23.597893,-46.683366
16985655548,-23.5980988,-46.6826631
16663372503,-23.5980988,-46.6826633
16988819361,-23.6005567,-46.6746436
16930326114,-23.5993854,-46.6772302
16984177175,-23.6006176,-46.6771491
16986319599,-23.6011694,-46.6769033
16717467565,-23.6021606,-46.6748031
16910970708,-23.609616,-46.6675889
16985046702,-23.6119572,-46.663302
16987488762,-23.6052335,-46.6618136
16975218332,-23.6060516,-46.6635162
16978467574,-23.6076697,-46.6606517
16982721992,-23.6082041,-46.65877
16986051173,-23.6008485,-46.6591924
16984131089,-23.6019417,-46.6575203
16981687563,-23.6041403,-46.6587346
16984663682,-23.6056309,-46.6569913
16989542993,-23.5949318,-46.6665349
16928425071,-23.5894934,-46.6715704
16983241368,-23.5896727,-46.6704142
16986425409,-23.5907894,-46.6692935
16853729620,-23.5912989,-46.667734
16941993888,-23.5959617,-46.6615384
16981583649,-23.5953268,-46.6612924
16986730703,-23.5963828,-46.6652017
16988562133,-23.597422,-46.6713391
16984210095,-23.5971171,-46.674348
16912614849,-23.5971171,-46.674348
16978687105,-23.59678,-46.6768121
16977978623,-23.5954175,-46.6778291
16846377696,-23.5956382,-46.6763756
16852310988,-23.5960952,-46.6749838
16903282427,-23.5956393,-46.6749145
16983490701,-23.5937344,-46.6734387
16985401358,-23.6028872,-46.6923063
16988803196,-23.5923775,-46.6740422
16980096153,-23.5939537,-46.6762301
16983685589,-23.5914446,-46.6724939
16963175205,-23.5880644,-46.6729808
16979226027,-23.5909894,-46.6744008
16978594437,-23.5917653,-46.6790891
16718590834,-23.5925376,-46.6846998
16921006765,-23.5929683,-46.6862393
16982947639,-23.5947747,-46.6850592
16983942777,-23.5941831,-46.6856754
16987176260,-23.5943298,-46.6881912
16983534584,-23.5943298,-46.6881912
16890126598,-23.5943298,-46.6881912
16929964557,-23.5969526,-46.6870829
16988832113,-23.5964398,-46.6877496
16985996087,-23.5939278,-46.6901601
16987975930,-23.6055892,-46.6647039
16986067975,-23.618623,-46.6855126
16980637148,-23.6007043,-46.6923758
16800687262,-23.6185326,-46.6846065
16958511065,-23.6008916,-46.6946214
16987064399,-23.6179322,-46.6822191
16987725344,-23.5926215,-46.6906926
16930712372,-23.6029134,-46.6947981
16981665515,-23.6029134,-46.6947981
16985566225,-23.6030183,-46.6935307
16983751678,-23.6124095,-46.6870329
16898568117,-23.6025425,-46.6929313
16935952680,-23.6109743,-46.6871639
16975451443,-23.5892807,-46.6837499
16978467598,-23.6112029,-46.6909574
16957421422,-23.6035914,-46.6939654
16933705113,-23.5892209,-46.6830196
16939871162,-23.6040517,-46.6948843
16907752348,-23.6121619,-46.6922848
16980067363,-23.6065524,-46.6945135
16984347986,-23.611017,-46.6659219
16987970814,-23.6129198,-46.694748
16639062133,-23.5865367,-46.6692256
16984555814,-23.5881639,-46.6776265
16910953683,-23.6073949,-46.6941094
16985551978,-23.5852846,-46.6678288
16987328321,-23.6075961,-46.6952828
16984685712,-23.6093854,-46.6924786
16979227478,-23.5891646,-46.6786858
16720832912,-23.6070426,-46.6960968
16921275466,-23.6070426,-46.6960968
16856627542,-23.6070426,-46.6960968
16930439366,-23.6070426,-46.6960968
16987970655,-23.6070426,-46.6960968
16980095115,-23.595339,-46.6538635
16983469563,-23.6123034,-46.6963033
16931831443,-23.6070426,-46.6960968
16981106382,-23.5856123,-46.6766807
16984145625,-23.6058044,-46.6949461
16984153473,-23.5846796,-46.676171
16927932243,-23.5846796,-46.676171
16987918946,-23.5846796,-46.676171
16980696363,-23.612033,-46.6957961
16982665565,-23.6045337,-46.6954635
16899856551,-23.6107647,-46.6951762
16980091451,-23.5839117,-46.6762105
16985955093,-23.5939278,-46.6901601
16987425375,-23.6215452,-46.6996642
16983273084,-23.5812755,-46.6730943
16957066676,-23.5928481,-46.6877051
16982646773,-23.6180939,-46.698082
16985511972,-23.5970437,-46.6621226
16985841490,-23.5942751,-46.6893799
16967679725,-23.578809,-46.6718574
16987262234,-23.614736,-46.696528
16986663367,-23.5990625,-46.6625752
16983368708,-23.594546,-46.6868856
16984275589,-23.5981961,-46.6653068
16966429759,-23.5828738,-46.67252
16847998249,-23.5946885,-46.6876175
16985336923,-23.6073223,-46.6929065
16957197069,-23.5832862,-46.6711383
16981008840,-23.5943298,-46.6881912
16983721055,-23.5943298,-46.6881912
16986913651,-23.5943298,-46.6881912
16987227124,-23.5988128,-46.6672723
16920197506,-23.5943298,-46.6881912
16976846752,-23.6051734,-46.6649221
16984850475,-23.5988128,-46.6672723
16703026974,-23.6151674,-46.6935574
16979370724,-23.604153,-46.6645593
16980107885,-23.604153,-46.6645593
16979375494,-23.604153,-46.6645593
16979226540,-23.604153,-46.6645593
16978296481,-23.604153,-46.6645593
16983570798,-23.604153,-46.6645593
16981126748,-23.6093854,-46.6924786
16984972788,-23.600417,-46.667425
16901042380,-23.6156974,-46.6928704
16986524625,-23.5954524,-46.6865941
16985588515,-23.6038463,-46.6652352
16984444474,-23.6013305,-46.6674597
16926795081,-23.6139429,-46.6909358
16900351901,-23.6139429,-46.6909358
16901567338,-23.6018655,-46.6667996
16984162685,-23.6169985,-46.694011
16983034234,-23.5892303,-46.6726296
16629273975,-23.6018626,-46.6678311
16983933510,-23.6175015,-46.6919084
16982836798,-23.6011267,-46.6675375
16956563892,-23.600595,-46.6693825
16986383339,-23.6001829,-46.6825501
16955955325,-23.6006875,-46.636314
16930222438,-23.6009066,-46.6688177
16978072846,-23.6144871,-46.6890661
16979966106,-23.6037017,-46.6638199
16820855851,-23.5848825,-46.6731957
16988309829,-23.5957625,-46.6806356
16986952699,-23.6169818,-46.6907108
16983519975,-23.6009272,-46.6364626
16988629049,-23.6009272,-46.6364626
16935422275,-23.6014682,-46.6687612
16983780476,-23.5956441,-46.678267
16984182874,-23.5956441,-46.678267
16976616740,-23.6024002,-46.6364634
16987507207,-23.602197,-46.6629747
16982738093,-23.6015042,-46.6685394
16922703142,-23.6166964,-46.689446
16911356074,-23.6166964,-46.689446
16926048799,-23.602292,-46.6623967
16980696616,-23.5967354,-46.6771139
16897689444,-23.5834062,-46.6750219
16982866807,-23.596227,-46.6772083
16981120829,-23.6175971,-46.6894311
16985952096,-23.6011233,-46.6631941
16970788682,-23.6152634,-46.685054
16987540329,-23.6158184,-46.6858219
16988892805,-23.6184259,-46.6885497
16987756206,-23.5958329,-46.6773153
16988142955,-23.5810823,-46.674345
16928944710,-23.6065191,-46.6639164
16980105237,-23.6197575,-46.6884086
16984153209,-23.6013811,-46.6618154
16984177725,-23.6209444,-46.6526662
16979126997,-23.6013758,-46.6614001
